company,name,token_num,token_str,term_str
Christian Dior,Dior Homme 2020,0,Bergamot,bergamot
Christian Dior,Dior Homme 2020,1,Pink,pink
Christian Dior,Dior Homme 2020,2,Pepper,pepper
Christian Dior,Dior Homme 2020,3,elemi,elemi
Christian Dior,Dior Homme 2020,4,Cashmere,cashmere
Christian Dior,Dior Homme 2020,5,Wood,wood
Christian Dior,Dior Homme 2020,6,Atlas,atlas
Christian Dior,Dior Homme 2020,7,Cedar,cedar
Christian Dior,Dior Homme 2020,8,Patchouli,patchouli
Christian Dior,Dior Homme 2020,9,Iso,iso
Christian Dior,Dior Homme 2020,10,E,e
Christian Dior,Dior Homme 2020,11,Super,super
Christian Dior,Dior Homme 2020,12,Haitian,haitian
Christian Dior,Dior Homme 2020,13,Vetiver,vetiver
Christian Dior,Dior Homme 2020,14,White,white
Christian Dior,Dior Homme 2020,15,Musk,musk
Giorgio Armani,Acqua di Giò Profondo,0,Sea,sea
Giorgio Armani,Acqua di Giò Profondo,1,Notes,notes
Giorgio Armani,Acqua di Giò Profondo,2,Aquozone,aquozone
Giorgio Armani,Acqua di Giò Profondo,3,Bergamot,bergamot
Giorgio Armani,Acqua di Giò Profondo,4,Green,green
Giorgio Armani,Acqua di Giò Profondo,5,Mandarin,mandarin
Giorgio Armani,Acqua di Giò Profondo,6,Rosemary,rosemary
Giorgio Armani,Acqua di Giò Profondo,7,Cypress,cypress
Giorgio Armani,Acqua di Giò Profondo,8,Lavender,lavender
Giorgio Armani,Acqua di Giò Profondo,9,Mastic,mastic
Giorgio Armani,Acqua di Giò Profondo,10,or,or
Giorgio Armani,Acqua di Giò Profondo,11,Lentisque,lentisque
Giorgio Armani,Acqua di Giò Profondo,12,Mineral,mineral
Giorgio Armani,Acqua di Giò Profondo,13,notes,notes
Giorgio Armani,Acqua di Giò Profondo,14,Musk,musk
Giorgio Armani,Acqua di Giò Profondo,15,Patchouli,patchouli
Giorgio Armani,Acqua di Giò Profondo,16,Amber,amber
Jean Paul Gaultier,Le Male Le Parfum,0,Cardamom,cardamom
Jean Paul Gaultier,Le Male Le Parfum,1,Lavender,lavender
Jean Paul Gaultier,Le Male Le Parfum,2,iris,iris
Jean Paul Gaultier,Le Male Le Parfum,3,Vanilla,vanilla
Jean Paul Gaultier,Le Male Le Parfum,4,Oriental,oriental
Jean Paul Gaultier,Le Male Le Parfum,5,notes,notes
Jean Paul Gaultier,Le Male Le Parfum,6,Woodsy,woodsy
Jean Paul Gaultier,Le Male Le Parfum,7,Notes,notes
