company,name,token_num,token_str,term_str
By Kilian,Angels' Share,0,Cognac,cognac
By Kilian,Angels' Share,1,Cinnamon,cinnamon
By Kilian,Angels' Share,2,Tonka,tonka
By Kilian,Angels' Share,3,Bean,bean
By Kilian,Angels' Share,4,Oak,oak
By Kilian,Angels' Share,5,Praline,praline
By Kilian,Angels' Share,6,Vanilla,vanilla
By Kilian,Angels' Share,7,Sandalwood,sandalwood
Tom Ford,Bitter Peach,0,Peach,peach
Tom Ford,Bitter Peach,1,Blood,blood
Tom Ford,Bitter Peach,2,Orange,orange
Tom Ford,Bitter Peach,3,Cardamom,cardamom
Tom Ford,Bitter Peach,4,Heliotrope,heliotrope
Tom Ford,Bitter Peach,5,Rum,rum
Tom Ford,Bitter Peach,6,Cognac,cognac
Tom Ford,Bitter Peach,7,Davana,davana
Tom Ford,Bitter Peach,8,Jasmine,jasmine
Tom Ford,Bitter Peach,9,Indonesian,indonesian
Tom Ford,Bitter Peach,10,Patchouli,patchouli
Tom Ford,Bitter Peach,11,Leaf,leaf
Tom Ford,Bitter Peach,12,Sandalwood,sandalwood
Tom Ford,Bitter Peach,13,Vanilla,vanilla
Tom Ford,Bitter Peach,14,Tonka,tonka
Tom Ford,Bitter Peach,15,Bean,bean
Tom Ford,Bitter Peach,16,Cashmeran,cashmeran
Tom Ford,Bitter Peach,17,Benzoin,benzoin
Tom Ford,Bitter Peach,18,Labdanum,labdanum
Tom Ford,Bitter Peach,19,Styrax,styrax
Tom Ford,Bitter Peach,20,Vetiver,vetiver
Tom Ford,Black Orchid Parfum,0,Truffle,truffle
Tom Ford,Black Orchid Parfum,1,Plum,plum
Tom Ford,Black Orchid Parfum,2,Ylang,ylang
Tom Ford,Black Orchid Parfum,3,Ylang,ylang
Tom Ford,Black Orchid Parfum,4,Rum,rum
Tom Ford,Black Orchid Parfum,5,Black,black
Tom Ford,Black Orchid Parfum,6,Orchid,orchid
Tom Ford,Black Orchid Parfum,7,Patchouli,patchouli
Chanel,Le Lion de Chanel,0,Lemon,lemon
Chanel,Le Lion de Chanel,1,Bergamot,bergamot
Chanel,Le Lion de Chanel,2,Labdanum,labdanum
Chanel,Le Lion de Chanel,3,Amber,amber
Chanel,Le Lion de Chanel,4,Madagascar,madagascar
Chanel,Le Lion de Chanel,5,Vanilla,vanilla
Chanel,Le Lion de Chanel,6,Patchouli,patchouli
Chanel,Le Lion de Chanel,7,Sandalwood,sandalwood
Chanel,Le Lion de Chanel,8,Musk,musk
Tom Ford,Rose Prick,0,Sichuan,sichuan
Tom Ford,Rose Prick,1,Pepper,pepper
Tom Ford,Rose Prick,2,Turmeric,turmeric
Tom Ford,Rose Prick,3,May,may
Tom Ford,Rose Prick,4,Rose,rose
Tom Ford,Rose Prick,5,Bulgarian,bulgarian
Tom Ford,Rose Prick,6,Rose,rose
Tom Ford,Rose Prick,7,Turkish,turkish
Tom Ford,Rose Prick,8,Rose,rose
Tom Ford,Rose Prick,9,Patchouli,patchouli
Tom Ford,Rose Prick,10,Tonka,tonka
Tom Ford,Rose Prick,11,Bean,bean
Serge Lutens,Arabie,1,Dried,dried
Serge Lutens,Arabie,2,Fruits,fruits
Serge Lutens,Arabie,3,Cloves,cloves
Serge Lutens,Arabie,4,Dates,dates
Serge Lutens,Arabie,5,Nutmeg,nutmeg
Serge Lutens,Arabie,6,Caraway,caraway
Serge Lutens,Arabie,7,Bay,bay
Serge Lutens,Arabie,8,Leaf,leaf
Serge Lutens,Arabie,9,Resin,resin
Serge Lutens,Arabie,10,Siam,siam
Serge Lutens,Arabie,11,Benzoin,benzoin
Serge Lutens,Arabie,12,Myrrh,myrrh
Serge Lutens,Arabie,13,Fig,fig
Serge Lutens,Arabie,14,Sandalwood,sandalwood
Serge Lutens,Arabie,15,Mandarin,mandarin
Serge Lutens,Arabie,16,Orange,orange
Serge Lutens,Arabie,17,Tonka,tonka
Serge Lutens,Arabie,18,Bean,bean
Serge Lutens,Arabie,19,Cedar,cedar
Jo Milano Paris,Levante Intense,0,Grapefruit,grapefruit
Jo Milano Paris,Levante Intense,1,Jasmine,jasmine
Jo Milano Paris,Levante Intense,2,Bay,bay
Jo Milano Paris,Levante Intense,3,Leaf,leaf
Jo Milano Paris,Levante Intense,4,Oakmoss,oakmoss
Jo Milano Paris,Levante Intense,5,Patchouli,patchouli
Rirana Parfume,Oriental Orchid,1,Orchid,orchid
Rirana Parfume,Oriental Orchid,2,White,white
Rirana Parfume,Oriental Orchid,3,Flowers,flowers
Rirana Parfume,Oriental Orchid,4,Chocolate,chocolate
Rirana Parfume,Oriental Orchid,5,Patchouli,patchouli
Rirana Parfume,Oriental Orchid,6,Incense,incense
Tom Ford,Lost Cherry,0,Sour,sour
Tom Ford,Lost Cherry,1,Cherry,cherry
Tom Ford,Lost Cherry,2,Bitter,bitter
Tom Ford,Lost Cherry,3,Almond,almond
Tom Ford,Lost Cherry,4,Liquor,liquor
Tom Ford,Lost Cherry,5,Sour,sour
Tom Ford,Lost Cherry,6,Cherry,cherry
Tom Ford,Lost Cherry,7,Plum,plum
Tom Ford,Lost Cherry,8,Turkish,turkish
Tom Ford,Lost Cherry,9,Rose,rose
Tom Ford,Lost Cherry,10,Jasmine,jasmine
Tom Ford,Lost Cherry,11,Sambac,sambac
Tom Ford,Lost Cherry,12,Tonka,tonka
Tom Ford,Lost Cherry,13,Bean,bean
Tom Ford,Lost Cherry,14,Vanilla,vanilla
Tom Ford,Lost Cherry,15,Peru,peru
Tom Ford,Lost Cherry,16,Balsam,balsam
Tom Ford,Lost Cherry,17,Benzoin,benzoin
Tom Ford,Lost Cherry,18,Cinnamon,cinnamon
Tom Ford,Lost Cherry,19,Sandalwood,sandalwood
Tom Ford,Lost Cherry,20,Cedar,cedar
Tom Ford,Lost Cherry,21,Cloves,cloves
