company,name,token_num,token_str,term_str
Giorgio Armani,My Way,0,Orange,orange
Giorgio Armani,My Way,1,Blossom,blossom
Giorgio Armani,My Way,2,Bergamot,bergamot
Giorgio Armani,My Way,3,Tuberose,tuberose
Giorgio Armani,My Way,4,Indian,indian
Giorgio Armani,My Way,5,Jasmine,jasmine
Giorgio Armani,My Way,6,White,white
Giorgio Armani,My Way,7,Musk,musk
Giorgio Armani,My Way,8,Madagascar,madagascar
Giorgio Armani,My Way,9,Vanilla,vanilla
Giorgio Armani,My Way,10,Virginian,virginian
Giorgio Armani,My Way,11,Cedar,cedar
Yves Saint Laurent,Libre Intense,0,Lavender,lavender
Yves Saint Laurent,Libre Intense,1,Mandarin,mandarin
Yves Saint Laurent,Libre Intense,2,Orange,orange
Yves Saint Laurent,Libre Intense,3,Bergamot,bergamot
Yves Saint Laurent,Libre Intense,4,Lavender,lavender
Yves Saint Laurent,Libre Intense,5,Tunisian,tunisian
Yves Saint Laurent,Libre Intense,6,Orange,orange
Yves Saint Laurent,Libre Intense,7,Blossom,blossom
Yves Saint Laurent,Libre Intense,8,Jasmine,jasmine
Yves Saint Laurent,Libre Intense,9,Sambac,sambac
Yves Saint Laurent,Libre Intense,10,Orchid,orchid
Yves Saint Laurent,Libre Intense,11,Madagascar,madagascar
Yves Saint Laurent,Libre Intense,12,Vanilla,vanilla
Yves Saint Laurent,Libre Intense,13,Tonka,tonka
Yves Saint Laurent,Libre Intense,14,Bean,bean
Yves Saint Laurent,Libre Intense,15,Ambergris,ambergris
Yves Saint Laurent,Libre Intense,16,Vetiver,vetiver
Mugler,Angel Nova,0,Raspberry,raspberry
Mugler,Angel Nova,1,Litchi,litchi
Mugler,Angel Nova,2,Damask,damask
Mugler,Angel Nova,3,Rose,rose
Mugler,Angel Nova,4,Akigalawood,akigalawood
Mugler,Angel Nova,5,Benzoin,benzoin
Givenchy,L'Interdit Eau de Parfum Intense,0,Black,black
Givenchy,L'Interdit Eau de Parfum Intense,1,Pepper,pepper
Givenchy,L'Interdit Eau de Parfum Intense,2,Tuberose,tuberose
Givenchy,L'Interdit Eau de Parfum Intense,3,Sesame,sesame
Givenchy,L'Interdit Eau de Parfum Intense,4,Orange,orange
Givenchy,L'Interdit Eau de Parfum Intense,5,Blossom,blossom
Givenchy,L'Interdit Eau de Parfum Intense,6,Madagascar,madagascar
Givenchy,L'Interdit Eau de Parfum Intense,7,Vanilla,vanilla
