company,name,number_votes,rating
Christian Dior,Dior Homme 2020,1402.0,3.42
Giorgio Armani,Acqua di Giò Profondo,869.0,4.03
Jean Paul Gaultier,Le Male Le Parfum,690.0,4.26
Tom Ford,Beau De Jour Eau de Parfum,729.0,4.25
Guerlain,L'Homme Idéal Extrême,434.0,4.38
Paco Rabanne,1 Million Parfum,561.0,3.9
Cartier,Pasha de Cartier Parfum,339.0,4.44
Versace,Eros Eau De Parfum,266.0,4.18
Amouage,Interlude Black Iris Man,332.0,4.22
Guerlain,L’Homme Ideal Eau de Parfum,2956.0,4.37
Paco Rabanne,1 Million Lucky,1584.0,4.22
Yves Saint Laurent,Y Eau de Parfum,2485.0,4.18
Christian Dior,Sauvage Eau de Parfum,2841.0,4.03
Azzaro,Wanted by Night,1676.0,4.21
Chanel,Bleu de Chanel Parfum,1881.0,4.15
Givenchy,Gentleman Eau de Parfum,1464.0,4.21
Versace,Eros Flame,1310.0,3.79
Rochas,Moustache Eau de Parfum,865.0,4.44
Prada,Luna Rossa Black,1201.0,4.27
Zara,Vibrant Leather Eau de Parfum,1170.0,4.33
Salvatore Ferragamo,Uomo Salvatore Ferragamo Signature ,722.0,4.36
Rihanna,Rogue Man,249.0,4.14
Amouage,Beach Hut Man,926.0,4.21
Franck Olivier,Oud Touch,456.0,4.13
Carolina Herrera,Bad Boy Le Parfum,21.0,3.05
Parfums de Marly,Herod,3544.0,4.49
Dolce&Gabbana,Light Blue Eau Intense Pour Homme,2083.0,4.17
Gucci,Gucci Guilty Absolute,2893.0,4.01
Prada,Luna Rossa Carbon,1929.0,4.27
Giorgio Armani,Emporio Armani Stronger With You,2359.0,4.01
John Varvatos,Artisan Pure,1562.0,4.28
Prada,Prada L'Homme Intense,1449.0,4.44
Roja Dove,Elysium Pour Homme Parfum Cologne,1048.0,4.33
Carolina Herrera,Bad Boy,742.0,3.27
Hugo Boss,Boss Soul,717.0,3.91
Dolce&Gabbana,Light Blue pour Homme,3457.0,3.9
Armaf,Club de Nuit Intense Man,5084.0,4.26
Montblanc,Explorer,2442.0,4.19
Moschino,Toy Boy,1551.0,4.1
Giorgio Armani,Armani Code Absolu,1360.0,4.32
Giorgio Armani,Emporio Armani Stronger With You Intensely ,984.0,4.12
Bentley,Bentley for Men Intense,3588.0,4.21
Maison Martin Margiela,Jazz Club,2539.0,4.22
Paco Rabanne,Invictus,5354.0,3.58
Lalique,Encre Noire Sport,2622.0,4.25
Christian Dior,Dior Homme Cologne 2013,4184.0,4.42
Versace,Versace Pour Homme Oud Noir,1438.0,4.22
