term_str,n,n_chars
and,779,3
the,618,3
notes,426,5
in,391,2
is,362,2
fragrance,350,9
are,339,3
of,328,2
this,253,4
a,248,1
for,177,3
men,170,3
was,163,3
base,155,4
with,146,4
perfume,144,7
top,135,3
launched,125,8
other,118,5
woody,115,5
about,114,5
ελληνικά,113,8
italiano,113,8
polski,113,6
português,113,9
русский,113,7
العربية,113,7
汉语,113,2
nederlands,113,10
română,113,6
deutsch,113,7
українська,113,10
монгол,113,6
עברית,113,5
français,113,8
español,113,7
read,113,4
languages,113,9
middle,111,6
srpski,108,6
by,105,2
as,105,2
new,94,3
de,91,2
bergamot,85,8
behind,84,6
patchouli,84,9
nose,80,4
eau,77,3
it,74,2
leather,73,7
amber,67,5
cedar,67,5
oriental,63,8
to,62,2
pepper,62,6
ml,62,2
vetiver,59,7
available,59,9
parfum,58,6
vanilla,57,7
musk,57,4
black,56,5
from,56,4
lavender,55,8
homme,53,5
aromatic,53,8
an,47,2
orange,45,6
spicy,45,5
created,43,7
100,42,3
tonka,42,5
sandalwood,40,10
rose,40,4
heart,39,5
50,37,2
masculine,37,9
on,36,2
that,36,4
its,36,3
composition,34,11
bean,34,4
cardamom,34,8
lemon,34,5
grapefruit,34,10
one,34,3
jasmine,33,7
sage,30,4
s,30,1
man,29,3
bottle,29,6
edition,29,7
note,29,4
fougere,27,7
mandarin,27,8
,27,0
wood,26,4
house,26,5
l,25,1
cinnamon,25,8
white,25,5
tobacco,25,7
which,24,5
2015,24,4
original,24,8
toilette,23,8
pink,23,4
prada,23,5
fresh,22,5
ginger,22,6
version,22,7
geranium,22,8
olivier,21,7
incense,21,7
rosemary,21,8
luna,21,4
pour,21,4
nutmeg,20,6
campaign,20,8
rossa,20,5
neroli,19,6
dior,19,4
mint,19,4
leaf,19,4
edt,19,3
scent,18,5
labdanum,18,8
2018,18,4
after,18,5
who,18,3
blossom,18,7
intense,17,7
perfumer,17,8
oakmoss,16,7
polge,16,5
2010,16,4
2013,16,4
2008,16,4
comes,16,5
fragrances,15,10
coriander,15,9
juniper,15,7
be,15,2
sensual,15,7
2009,14,4
opens,14,5
basil,14,5
clary,14,5
2011,14,4
announced,14,9
first,14,5
iris,14,4
jacques,14,7
pure,14,4
classic,14,7
2020,13,4
virginia,13,8
moss,13,4
accords,13,7
125,13,3
benzoin,13,7
elegant,13,7
modern,13,6
spices,13,6
cypress,13,7
citrus,13,6
blue,13,4
million,13,7
2017,13,4
2004,12,4
market,12,6
design,12,6
aquatic,12,7
oud,12,3
thyme,12,5
face,12,4
line,12,4
extreme,12,7
saffron,12,7
you,12,3
chanel,11,6
inspired,11,8
red,11,3
75,11,2
out,11,3
30,11,2
dark,11,4
violet,11,6
features,11,8
three,11,5
demachy,11,7
apple,11,5
oak,11,3
collection,11,10
green,11,5
john,11,4
advertising,11,11
light,10,5
