term_str,n,n_chars
bergamot,57,8
patchouli,54,9
cedar,45,5
pepper,44,6
musk,40,4
amber,40,5
notes,39,5
orange,38,6
lavender,36,8
vanilla,34,7
vetiver,34,7
leather,30,7
bean,29,4
tonka,28,5
sandalwood,26,10
lemon,25,5
rose,24,4
grapefruit,22,10
mandarin,21,8
cardamom,21,8
jasmine,21,7
sage,20,4
black,19,5
cinnamon,17,8
pink,16,4
geranium,16,8
oakmoss,16,7
rosemary,15,8
blossom,15,7
tobacco,14,7
mint,13,4
incense,13,7
nutmeg,13,6
ginger,13,6
leaf,13,4
labdanum,12,8
neroli,12,6
benzoin,11,7
virginia,11,8
juniper,11,7
woody,10,5
coriander,10,9
clary,10,5
wood,10,4
violet,8,6
cypress,8,7
apple,8,5
saffron,8,7
agarwood,8,8
oud,8,3
basil,8,5
iris,8,4
orris,7,5
elemi,7,5
white,7,5
thyme,7,5
woodsy,7,6
olibanum,6,8
amberwood,6,9
amalfi,6,6
green,6,5
guaiac,6,6
berries,6,7
anise,6,5
pineapple,6,9
moss,6,4
lime,6,4
sea,6,3
petitgrain,6,10
ambroxan,6,8
ambergris,6,9
oak,5,3
cacao,5,5
super,5,5
haitian,5,7
almond,5,6
e,5,1
styrax,5,6
iso,5,3
artemisia,5,9
of,5,2
lily,5,4
valley,4,6
water,4,5
oil,4,3
the,4,3
caraway,4,7
ylang,4,5
calabrian,4,9
or,4,2
red,4,3
vanille,4,7
tea,4,3
resin,4,5
rum,4,3
atlas,3,5
currant,3,7
bay,3,3
coumarin,3,8
suede,3,5
clementine,3,10
galbanum,3,8
pear,3,4
birch,3,5
cashmere,3,8
seeds,3,5
mallow,3,6
castoreum,3,9
fruity,3,6
ambrette,3,8
star,3,4
spices,3,6
honey,3,5
fir,3,3
bitter,3,6
cumin,3,5
indonesian,3,10
balsam,3,6
vetyver,2,7
carnation,2,9
tarragon,2,8
mate,2,4
seaweed,2,7
aldehydes,2,9
root,2,4
chocolate,2,9
akigalawood,2,11
french,2,6
sicilian,2,8
spicy,2,5
dark,2,4
magnolia,2,8
whiskey,2,7
clove,2,5
flax,2,4
carrot,2,6
tamarind,2,8
blood,2,5
cypriol,2,7
cloves,2,6
orchid,2,6
heliotrope,2,10
tuberose,2,8
cashmeran,2,9
pine,2,4
oriental,2,8
myrhh,2,5
bulgarian,2,9
sichuan,2,7
husk,2,4
lentisque,2,9
angelica,2,8
mastic,2,6
coffee,2,6
plum,2,4
nagarmotha,2,10
myrrh,2,5
caramel,2,7
osmanthus,2,9
tincture,2,8
raspberry,2,9
watery,2,6
kumquat,1,7
mai,1,3
sandalowood,1,11
de,1,2
flower,1,6
cotton,1,6
vanila,1,6
flowers,1,7
mahogany,1,8
aquozone,1,8
rice,1,4
hyacinth,1,8
extract,1,7
wild,1,4
exotic,1,6
seed,1,4
hibiscus,1,8
natural,1,7
hay,1,3
herbal,1,6
gray,1,4
mineral,1,7
indian,1,6
blackberry,1,10
dried,1,5
verbena,1,7
cucumber,1,8
holly,1,5
wormwood,1,8
passionfruit,1,12
vodka,1,5
moroccan,1,8
flint,1,5
pimento,1,7
peat,1,4
malt,1,4
gin,1,3
dates,1,5
tree,1,4
tahitian,1,8
madagascar,1,10
immortelle,1,10
opoponax,1,8
celery,1,6
fruits,1,6
marjoram,1,8
salt,1,4
nasturtium,1,10
may,1,3
bourbon,1,7
tolu,1,4
java,1,4
chinotto,1,8
african,1,7
texas,1,5
toffee,1,6
bamboo,1,6
italian,1,7
roasted,1,7
sylkolide,1,9
beans,1,5
ivy,1,3
pod,1,3
rosewood,1,8
brazilian,1,9
cannabis,1,8
metallic,1,8
coal,1,4
soil,1,4
melon,1,5
leatherwood,1,11
cognac,1,6
zest,1,4
ambrocenide,1,11
lemongrass,1,10
orangewood,1,10
olive,1,5
monoi,1,5
chestnut,1,8
solar,1,5
rhuburb,1,7
chinese,1,7
liquor,1,6
candy,1,5
kulfi,1,5
papyrus,1,7
fig,1,3
cherry,1,6
mexican,1,7
ozonic,1,6
cane,1,4
sugar,1,5
pomelo,1,6
hazelnut,1,8
woods,1,5
