term_str,n,n_chars
musk,44,4
vanilla,41,7
jasmine,37,7
patchouli,36,9
sandalwood,34,10
bergamot,31,8
rose,29,4
cedar,27,5
amber,27,5
notes,27,5
orange,25,6
ylang,24,5
benzoin,19,7
tonka,19,5
bean,19,4
vetiver,18,7
pepper,17,6
cardamom,14,8
tobacco,13,7
incense,12,7
lemon,12,5
white,12,5
cinnamon,12,8
labdanum,12,8
iris,11,4
saffron,11,7
leather,11,7
lavender,10,8
blossom,10,7
black,10,5
ginger,10,6
almond,10,6
leaf,9,4
honey,9,5
bitter,8,6
oud,8,3
pink,8,4
oakmoss,8,7
agarwood,8,8
ambergris,8,9
juniper,8,7
green,7,5
mandarin,7,8
caramel,7,7
lily,7,4
apple,7,5
violet,7,6
the,6,3
valley,6,6
peach,6,5
cashmeran,6,9
coconut,6,7
nutmeg,6,6
guaiac,6,6
wood,6,4
of,6,2
flower,6,6
rum,6,3
geranium,5,8
coriander,5,9
bulgarian,5,9
pear,5,4
heliotrope,5,10
grapefruit,5,10
neroli,5,6
rosemary,5,8
woody,5,5
myrrh,5,5
water,5,5
floral,5,6
petitgrain,4,10
virginia,4,8
tea,4,3
moss,4,4
plum,4,4
currant,4,7
pineapple,4,9
turkish,4,7
chocolate,4,9
pine,4,4
spicy,4,5
cherry,4,6
cloves,4,6
woodsy,4,6
praline,4,7
sambac,4,6
sicilian,4,8
balsam,4,6
madagascar,4,10
coffee,3,6
dark,3,4
raspberry,3,9
orris,3,5
african,3,7
olibanum,3,8
cacao,3,5
myrtle,3,6
strawberry,3,10
mallow,3,6
red,3,3
amalfi,3,6
vanila,3,6
sea,3,3
sand,3,4
aldehydes,3,9
ambrette,3,8
cypress,3,7
cognac,3,6
fig,3,3
indonesian,3,10
sour,3,4
tuberose,3,8
bay,3,3
orchid,3,6
peru,3,4
resin,3,5
oak,3,3
fir,2,3
mint,2,4
milk,2,4
tree,2,4
apricot,2,7
root,2,4
galbanum,2,8
fruits,2,6
berries,2,7
birch,2,5
siam,2,4
dried,2,5
cumin,2,5
chestnut,2,8
anise,2,5
papyrus,2,7
myrhh,2,5
cardamon,2,8
melon,2,5
tiare,2,5
ambroxan,2,8
iso,2,3
e,2,1
super,2,5
styrax,2,6
blood,2,5
spices,2,6
bourbon,2,7
angelica,2,8
mango,2,5
star,2,4
suede,2,5
sugar,2,5
big,2,3
hedione,2,7
egyptian,2,8
citruses,2,8
frangipani,2,10
chamomile,2,9
hazelnut,2,8
amberwood,2,9
narcissus,2,9
beeswax,2,7
artemisia,2,9
haitian,2,7
cane,1,4
clary,1,5
sage,1,4
needles,1,7
basil,1,5
whiskey,1,7
eucalyptus,1,10
mastic,1,6
hiacynth,1,8
lotus,1,5
bulrush,1,7
carrot,1,6
tomato,1,6
salt,1,4
truffle,1,7
woods,1,5
lorenox,1,7
curry,1,5
champagne,1,9
poppy,1,5
peony,1,5
champaca,1,8
or,1,2
lentisque,1,9
laurels,1,7
camphor,1,7
slate,1,5
locust,1,6
ash,1,3
wormwood,1,8
magnolia,1,8
grass,1,5
grapes,1,6
pitosporum,1,10
fruity,1,6
salicylate,1,10
amyl,1,4
chinese,1,7
elemi,1,5
clove,1,5
french,1,6
gingerbread,1,11
hay,1,3
cyclamen,1,8
davana,1,6
tagetes,1,7
tropical,1,8
fruit,1,5
rubber,1,6
earthy,1,6
citron,1,6
ozonic,1,6
essence,1,7
shiso,1,5
piña,1,4
colada,1,6
civet,1,5
synthetic,1,9
marshmallow,1,11
exotic,1,6
sap,1,3
kumquat,1,7
pod,1,3
dates,1,5
freesia,1,7
pistachio,1,9
caraway,1,7
cassis,1,6
passionfruit,1,12
indian,1,6
moroccan,1,8
liquor,1,6
palmarosa,1,9
flowers,1,7
spanish,1,7
mahogany,1,8
sweet,1,5
may,1,3
smoke,1,5
gunpowder,1,9
osmanthus,1,9
plastic,1,7
brioche,1,7
daim,1,4
hawthorn,1,8
tangerine,1,9
vetyver,1,7
resins,1,6
lime,1,4
karounde,1,8
karo,1,4
barley,1,6
sesame,1,6
coumarin,1,8
licorice,1,8
russian,1,7
opoponax,1,8
lilac,1,5
herbal,1,6
sichuan,1,7
turmeric,1,8
cashmere,1,8
