term_str,n,n_chars
and,612,3
the,485,3
in,354,2
of,286,2
fragrance,280,9
notes,261,5
this,257,4
is,250,2
are,214,3
a,214,1
for,156,3
perfume,143,7
was,140,3
women,129,5
launched,126,8
men,123,3
other,120,5
about,118,5
read,116,4
română,114,6
العربية,114,7
español,114,7
українська,114,10
монгол,114,6
עברית,114,5
nederlands,114,10
polski,114,6
srpski,114,6
français,114,8
italiano,114,8
русский,114,7
deutsch,114,7
português,114,9
ελληνικά,114,8
汉语,114,2
languages,114,9
with,89,4
top,86,3
base,86,4
behind,80,6
middle,78,6
nose,78,4
to,73,2
by,71,2
as,66,2
vanilla,60,7
musk,53,4
new,53,3
oriental,53,8
jasmine,47,7
floral,46,6
woody,45,5
de,41,2
vetiver,41,7
patchouli,41,9
rose,40,4
sandalwood,37,10
bergamot,36,8
from,35,4
an,34,2
amber,34,5
aromatic,33,8
cedar,33,5
that,30,4
tonka,30,5
black,30,5
orange,30,6
note,29,4
scent,28,5
ylang,28,5
eau,27,3
it,26,2
spicy,26,5
which,26,5
on,25,2
,24,0
available,23,9
its,23,3
collection,20,10
green,20,5
leather,19,7
heart,19,5
pepper,19,6
flower,19,6
bean,18,4
has,18,3
or,18,2
composition,18,11
ml,18,2
lemon,17,5
inspired,17,8
2017,17,4
tobacco,17,7
parfum,17,6
fragrances,17,10
created,16,7
at,16,2
cardamom,16,8
incense,16,7
model,15,5
le,15,2
1920,15,4
tom,15,3
benzoin,15,7
2008,14,4
cinnamon,14,8
christopher,14,11
ford,14,4
gucci,14,5
fruity,14,6
oud,14,3
like,14,4
bitter,14,6
sweet,14,5
labdanum,13,8
honey,13,5
sheldrake,13,9
most,13,4
jardin,13,6
2004,13,4
2015,13,4
love,13,4
i,13,1
wood,13,4
jean,13,4
precious,12,8
african,12,7
blossom,12,7
ginger,12,6
ellena,12,6
claude,12,6
cherry,12,6
shadow,12,6
pink,11,4
chanel,11,6
iris,11,4
perfumer,11,8
all,11,3
warm,11,4
time,11,4
2018,11,4
white,11,5
tuberose,11,8
brand,11,5
mandarin,10,8
can,10,3
light,10,5
un,10,2
peach,10,5
out,10,3
sensual,10,7
one,10,3
lavender,10,8
saffron,10,7
50,10,2
turkish,10,7
molecule,10,8
almond,10,6
line,10,4
spices,10,6
myrrh,10,5
more,9,4
apple,9,5
be,9,2
chypre,9,6
2020,9,4
escentric,9,9
ambergris,9,9
into,9,4
dune,9,4
2019,9,4
orchid,9,6
leaf,9,4
their,8,5
together,8,8
water,8,5
blend,8,5
composed,8,8
family,8,6
juniper,8,7
orris,8,5
ingredients,8,11
02,8,2
s,8,1
alessandro,8,10
bottle,8,6
100,8,3
memory,8,6
chamomile,8,9
mémoire,8,7
citrus,8,6
woodsy,8,6
include,8,7
beautiful,8,9
violet,7,6
2009,7,4
grapefruit,7,10
oakmoss,7,7
original,7,8
root,7,4
2010,7,4
lutens,7,6
world,7,5
hacivat,7,7
unique,7,6
neroli,7,6
private,7,7
sambac,7,6
pine,7,4
karagoz,7,7
red,7,3
nutmeg,7,6
exclusive,7,9
during,7,6
his,7,3
guaiac,7,6
bois,7,4
coriander,7,9
culture,6,7
nature,6,6
garden,6,6
2005,6,4
serge,6,5
michele,6,7
lily,6,4
2013,6,4
tribute,6,7
04,6,2
