term_str,n,n_chars
the,1759,3
and,1724,3
of,1052,2
in,982,2
notes,833,5
is,819,2
a,714,1
fragrance,697,9
are,693,3
this,545,4
for,443,3
was,442,3
perfume,417,7
with,366,4
women,316,5
by,315,2
base,304,4
floral,290,6
launched,285,8
top,278,3
about,274,5
other,262,5
read,254,4
nederlands,251,10
français,251,8
עברית,251,5
languages,251,9
deutsch,251,7
español,251,7
монгол,251,6
italiano,251,8
русский,251,7
polski,251,6
português,251,9
ελληνικά,251,8
汉语,251,2
українська,251,10
العربية,251,7
română,251,6
srpski,250,6
to,239,2
as,233,2
rose,227,4
jasmine,225,7
middle,221,6
musk,216,4
new,193,3
de,176,2
it,172,2
vanilla,170,7
orange,166,6
eau,156,3
created,153,7
amber,139,5
nose,132,4
parfum,131,6
patchouli,130,9
that,129,4
behind,127,6
ylang,126,5
an,123,2
oriental,119,8
sandalwood,117,10
white,116,5
bergamot,109,8
composition,106,11
from,105,4
her,105,3
available,103,9
ml,102,2
on,94,2
pink,93,4
bottle,92,6
heart,90,5
its,87,3
woody,83,5
mandarin,82,8
lily,81,4
fruity,80,6
blossom,80,7
50,79,2
which,74,5
black,73,5
note,73,4
,70,0
scent,70,5
cedar,69,5
pepper,68,6
iris,64,4
vetiver,63,7
intense,61,7
edition,58,7
flowers,56,7
chanel,56,6
green,56,5
tonka,55,5
who,54,3
valley,54,6
30,53,2
woman,53,5
tuberose,53,8
while,51,5
first,51,5
s,51,1
campaign,50,8
be,49,2
fresh,48,5
one,47,3
like,46,4
face,46,4
la,46,2
neroli,46,6
pear,45,4
modern,44,6
very,44,4
collection,44,10
lemon,44,5
house,44,5
chypre,43,6
violet,43,6
edp,42,3
at,42,2
bean,42,4
benzoin,41,7
musc,41,4
flower,39,6
100,38,3
sensual,37,7
gourmand,37,8
fragrances,37,10
will,36,4
2010,36,4
aldehydes,36,9
elegant,35,7
has,35,3
peony,35,5
original,34,8
gardenia,34,8
leather,34,7
wood,34,4
love,33,4
body,33,4
raspberry,32,9
more,31,4
narciso,31,7
noir,31,4
all,31,3
perfumer,31,8
2011,31,4
after,31,5
red,31,3
advertising,31,11
version,31,7
made,31,4
inspired,30,8
