term_str,n,n_chars
jasmine,140,7
musk,139,4
orange,132,6
rose,122,4
vanilla,103,7
ylang,90,5
patchouli,84,9
sandalwood,83,10
amber,81,5
bergamot,76,8
notes,60,5
blossom,53,7
mandarin,52,8
lily,49,4
cedar,47,5
white,45,5
pepper,44,6
iris,41,4
vetiver,39,7
of,39,2
bean,37,4
tonka,37,5
the,36,3
valley,36,6
lemon,34,5
pink,31,4
pear,29,4
tuberose,29,8
violet,28,6
benzoin,28,7
neroli,27,6
green,24,5
orris,22,5
gardenia,21,8
black,21,5
raspberry,21,9
peony,21,5
peach,20,5
oakmoss,20,7
heliotrope,20,10
vanille,18,7
aldehydes,18,9
orchid,18,6
currant,18,7
virginia,17,8
red,16,3
grapefruit,15,10
flower,15,6
incense,15,7
woody,15,5
leather,15,7
freesia,14,7
root,14,4
caramel,14,7
lavender,14,8
woodsy,14,6
almond,13,6
magnolia,13,8
sambac,13,6
carnation,12,9
lilac,12,5
honey,12,5
labdanum,12,8
african,12,7
flowers,12,7
wood,12,4
litchi,11,6
bulgarian,11,9
coconut,11,7
cinnamon,11,8
water,11,5
plum,10,4
ginger,10,6
berries,10,7
madagascar,10,10
apple,9,5
licorice,9,8
leaf,9,4
citruses,9,8
amalfi,9,6
cashmeran,8,9
narcissus,8,9
bitter,8,6
cashmere,8,8
pineapple,7,9
strawberry,7,10
hyacinth,7,8
amberwood,7,9
cassia,7,6
cherry,7,6
cardamom,7,8
french,7,6
fig,7,3
ambroxan,7,8
civet,7,5
moss,7,4
tea,7,3
geranium,7,8
rosewood,7,8
suede,6,5
lotus,6,5
ambergris,6,9
petitgrain,6,10
cassis,6,6
apricot,6,7
tobacco,6,7
praline,6,7
coumarin,6,8
opoponax,6,8
passionfruit,6,12
osmanthus,5,9
indian,5,6
cyclamen,5,8
chocolate,5,9
damask,5,6
nutmeg,5,6
turkish,5,7
vetyver,5,7
tangerine,5,9
oak,5,3
brazilian,5,9
rhuburb,4,7
powdery,4,7
saffron,4,7
galbanum,4,8
spices,4,6
blood,4,5
grasse,4,6
angelica,4,8
coriander,4,9
kiwi,4,4
vanila,4,6
clove,4,5
wild,4,4
lime,4,4
civetta,4,7
sugar,4,5
coffee,4,6
milk,3,4
hibiscus,3,8
sage,3,4
pomegranate,3,11
mallow,3,6
clary,3,5
guaiac,3,6
immortelle,3,10
quince,3,6
fruity,3,6
salt,3,4
woods,3,5
styrax,3,6
tincture,3,8
may,3,3
ambrette,3,8
calabrian,3,9
tree,3,4
castoreum,3,9
australian,3,10
italian,3,7
honeysuckle,3,11
cupcake,3,7
papyrus,3,7
blackberry,3,10
sour,3,4
cacao,3,5
de,2,2
cucumber,2,8
marshmallow,2,11
birch,2,5
champaca,2,8
clementine,2,10
watery,2,6
melon,2,5
candy,2,5
cotton,2,6
tarragon,2,8
liquor,2,6
bay,2,3
cypress,2,7
fir,2,3
yuzu,2,4
mahogany,2,8
bourbon,2,7
big,2,3
smith,2,5
oud,2,3
agarwood,2,8
sicilian,2,8
wormwood,2,8
fruits,2,6
anise,2,5
broom,2,5
tahitian,2,8
rhubarb,2,7
petalia,2,7
olibanum,2,8
bellflower,2,10
granny,2,6
egyptian,2,8
mirabelle,2,9
marigold,2,8
yellow,2,6
dark,2,4
frangipani,2,10
cloves,2,6
hip,2,3
rum,2,3
palisander,2,10
sweet,2,5
tomato,1,6
dulce,1,5
bulrush,1,7
cane,1,4
cetalox,1,7
caviar,1,6
tulip,1,5
hiacynth,1,8
nectarine,1,9
taif,1,4
toffee,1,6
tolu,1,4
mint,1,4
balsam,1,6
pumpkin,1,7
brown,1,5
west,1,4
amaryllis,1,9
myrhh,1,5
persimmon,1,9
bamboo,1,6
rice,1,4
wisteria,1,8
martini,1,7
precious,1,8
herbal,1,6
wildflowers,1,11
resins,1,6
kyara,1,5
moroccan,1,8
teak,1,4
mango,1,5
thyme,1,5
watermelon,1,10
buddleia,1,8
strelitzia,1,10
passion,1,7
cactus,1,6
olive,1,5
pelargonium,1,11
resin,1,5
elemi,1,5
stephanotis,1,11
rangoon,1,7
spicy,1,5
champagne,1,9
shiso,1,5
not,1,3
me,1,2
forget,1,6
clover,1,6
creeper,1,7
beeswax,1,7
pistachio,1,9
haitian,1,7
lydia,1,5
basil,1,5
asafoetida,1,10
tagetes,1,7
absolute,1,8
jatamansi,1,9
himalayan,1,9
nard,1,4
popocorn,1,8
extract,1,7
cream,1,5
whipped,1,7
zefir,1,5
nectar,1,6
davana,1,6
acácia,1,6
sesame,1,6
akigalawood,1,11
tunisian,1,8
virginian,1,9
mimosa,1,6
leaves,1,6
hay,1,3
chili,1,5
floral,1,6
costus,1,6
marjoram,1,8
linden,1,6
grass,1,5
spread,1,6
cocoa,1,5
hazelnut,1,8
hedione,1,7
verbena,1,7
myrrh,1,5
solar,1,5
brandy,1,6
dewberry,1,8
cumin,1,5
siam,1,4
lentisque,1,9
or,1,2
mastic,1,6
kulfi,1,5
chilli,1,6
petals,1,6
arum,1,4
pea,1,3
camellia,1,8
japanese,1,8
mai,1,3
wheat,1,5
leche,1,5
